# Copyright (C) 2018  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 18.1.0 Build 625 09/12/2018 SJ Lite Edition
# File: C:\Users\kayla\OneDrive\Documents\ECE385\lab7\lab7_pins.csv
# Generated on: Thu Nov 17 18:17:47 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
ARDUINO_IO[15],Bidir,PIN_AA20,4,B4_N0,PIN_AA20,2.5 V,,,,,
ARDUINO_IO[14],Bidir,PIN_AB21,4,B4_N0,PIN_AB21,2.5 V,,,,,
ARDUINO_IO[13],Bidir,PIN_AB20,4,B4_N0,PIN_AB20,2.5 V,,,,,
ARDUINO_IO[12],Bidir,PIN_Y19,4,B4_N0,PIN_Y19,2.5 V,,,,,
ARDUINO_IO[11],Bidir,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
ARDUINO_IO[10],Bidir,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
ARDUINO_IO[9],Bidir,PIN_AA17,4,B4_N0,PIN_AA17,2.5 V,,,,,
ARDUINO_IO[8],Bidir,PIN_AB17,4,B4_N0,PIN_AB17,2.5 V,,,,,
ARDUINO_IO[7],Bidir,PIN_AA12,4,B4_N0,PIN_AA12,2.5 V,,,,,
ARDUINO_IO[6],Bidir,PIN_AA11,4,B4_N0,PIN_AA11,2.5 V,,,,,
ARDUINO_IO[5],Bidir,PIN_Y10,3,B3_N0,PIN_Y10,2.5 V,,,,,
ARDUINO_IO[4],Bidir,PIN_AB9,3,B3_N0,PIN_AB9,2.5 V,,,,,
ARDUINO_IO[3],Bidir,PIN_AB8,3,B3_N0,PIN_AB8,2.5 V,,,,,
ARDUINO_IO[2],Bidir,PIN_AB7,3,B3_N0,PIN_AB7,2.5 V,,,,,
ARDUINO_IO[1],Bidir,PIN_AB6,3,B3_N0,PIN_AB6,2.5 V,,,,,
ARDUINO_IO[0],Bidir,PIN_AB5,3,B3_N0,PIN_AB5,2.5 V,,,,,
ARDUINO_RESET_N,Bidir,PIN_F16,7,B7_N0,PIN_F16,2.5 V,,,,,
DRAM_ADDR[12],Output,PIN_R20,5,B5_N0,PIN_R20,2.5 V,,,,,
DRAM_ADDR[11],Output,PIN_P20,5,B5_N0,PIN_P20,2.5 V,,,,,
DRAM_ADDR[10],Output,PIN_T20,5,B5_N0,PIN_T20,2.5 V,,,,,
DRAM_ADDR[9],Output,PIN_P19,5,B5_N0,PIN_P19,2.5 V,,,,,
DRAM_ADDR[8],Output,PIN_P18,5,B5_N0,PIN_P18,2.5 V,,,,,
DRAM_ADDR[7],Output,PIN_R18,5,B5_N0,PIN_R18,2.5 V,,,,,
DRAM_ADDR[6],Output,PIN_T19,5,B5_N0,PIN_T19,2.5 V,,,,,
